paper_id,title,file_path,dt_source_uuid,doi,created_at
418,The Role of Social Media in Health Misinformation and,2025/11/1846c1a0-dc20-4a74-9294-1281eb4537eb.pdf,B4694A44-1E39-41F1-94F4-E5B342D9B82F,10.2196/48620,2025-11-13T22:35:27.427930+00:00
669,Introduction to Communities of Practice: Understanding Their Importance and Impact | platformOS,2025/11/425a604c-a60d-4b69-8aaa-c1c401edbd0b.pdf,D1838333-820D-4A2A-9F0C-E480CE595FC4,,2025-11-16T20:14:40.034165+00:00
450,"Communication, technologies et développement, 16 | 2024",2025/11/2c056dc7-b309-404d-9a20-2f4fb89a584a.pdf,FD5078A1-A8AC-4E8F-AE94-A56B40BEE5B1,10.4000/12nfk,2025-11-13T22:43:56.529570+00:00
684,A WHO guideline for emergency risk,2025/11/837ab199-6359-4292-8fe8-9cf7d0de4c75.pdf,669890C7-AE7D-45A4-A24B-9FE2B69598A0,,2025-11-16T20:14:43.177163+00:00
482,Privacy as Contextual Integrity,2025/11/8467331b-5f25-4d0d-a665-5e4ceb956b17.pdf,2F74D76D-C275-42F1-A8A2-36339242CB80,,2025-11-13T22:44:04.023194+00:00
545,"Monitoring health for the SDGs,",2025/11/b185ab2a-1ff1-4d61-8834-105ea42cc390.pdf,A9FE97E5-23B0-4E8B-98BB-F4864F7857A4,10.4054/demres.2002.7.14).,2025-11-16T19:42:38.376549+00:00
546,May C.I. van Schalkwyk,2025/11/45495aec-a7a6-4e27-8c59-43f4e5d85c58.pdf,3059AD06-AEE2-4B9F-9F29-568E3530E89E,10.1093/ije/dyv069,2025-11-16T19:42:38.832899+00:00
547,THE HEALTH PARTNERSHIP MODEL,2025/11/efde9cc2-4cf0-4bcd-ae8d-7d9d34e2aba5.pdf,29C95D52-594A-4344-9636-D65D6FC0E171,,2025-11-16T19:42:38.932987+00:00
548,Online Harms 2025,2025/11/ef80922f-f010-47d1-96b4-3d1b527bba04.pdf,11017F60-D1D0-4F27-8E6E-4455AB1DD2C7,,2025-11-16T19:42:39.458358+00:00
549,Submission to the Consultation on Canada’s Renewed AI Strategy,2025/11/995e0ef9-d228-4b43-96df-887548ac60f7.pdf,D79F3346-3BB9-4295-9E7D-9B9B77024DA5,,2025-11-16T19:42:39.615758+00:00
550,Risk Communication and Trust in Public Health during the COVID-19 Pandemic,2025/11/9e92d04e-37f0-4fb9-b256-2f8b5980fbb2.pdf,951494CE-DDE7-497E-92BE-470712F2C362,10.1007/978-981-,2025-11-16T19:42:39.804763+00:00
